product_id,txn_ccy,total_txn_amt
654321,EUR,2.22853961130921E10
990432,USD,3.5660372340360695E10
770654,USD,3.08586669685337E10
450123,GBP,4.156555979257808E10
880321,USD,1.504760611068241E10
660789,GBP,4.528342861139992E10
550321,USD,1.2612631595580118E10
770654,GBP,4.1122217564049034E10
660789,USD,2.8055647324161728E10
990432,GBP,2.145408819900528E10
123450,USD,2.488376817177058E10
123450,GBP,3.595497979387096E10
880321,EUR,2.073117376340919E10
550321,EUR,1.794411072233068E10
450456,GBP,2.806201933728791E10
654321,USD,2.951103147344117E10
450123,USD,3.753749293921259E10
450456,USD,2.375371825753829E10
